Dataset,Symbol,Model,Window_Size,Test_Days,Train_Samples,Train_Days,RMSE,MAE,MAPE,R2,split_index
raw,ACB,LinearRegression,14,30,2445,2459,1.1694257699700865,1.028120660645706,3.866634711121887,-0.23282279771136372,2459
raw,ACB,RandomForestRegressor,14,30,2445,2459,1.4945124503473437,1.1260371560846545,4.09302946915282,-1.0135128789403618,2459
raw,ACB,XGBRegressor,14,30,2445,2459,1.3854090861589499,1.019382972717285,3.7100733153456584,-0.730260129022196,2459
raw,ACB,CatBoostRegressor,14,30,2445,2459,1.1262319997251242,0.8674069532500842,3.1840046283268886,-0.1434338970755713,2459
raw,ACB,SVR,14,30,2445,2459,4.713089212831885,3.879153203544919,14.90389259263769,-19.024729491667383,2459
raw,ACB,LinearRegression,30,30,2429,2459,1.2787145786092737,1.122811586804871,4.234016808763143,-0.47401726450689496,2459
raw,ACB,RandomForestRegressor,30,30,2429,2459,1.448846923286622,1.07997038177563,3.924808113737251,-0.8923451123897186,2459
raw,ACB,XGBRegressor,30,30,2429,2459,1.2473659847559047,1.026233228047689,3.820147210494857,-0.40263002317146235,2459
raw,ACB,CatBoostRegressor,30,30,2429,2459,1.0579634971972784,0.9148860520886757,3.4224785982581474,-0.009012866362541283,2459
raw,ACB,SVR,30,30,2429,2459,3.6365024567898754,2.56160075906558,9.839801038787806,-10.921286015480309,2459
raw,BID,LinearRegression,14,30,2450,2464,1.0826517186121807,0.7781225318685426,1.8668092575899287,-0.11264249155226791,2464
raw,BID,RandomForestRegressor,14,30,2450,2464,1.1262264707286196,0.8254850379596009,1.9814251431889165,-0.20400852994598195,2464
raw,BID,XGBRegressor,14,30,2450,2464,1.4055548929932864,1.0027734680175786,2.4044942606808153,-0.8753128303852216,2464
raw,BID,CatBoostRegressor,14,30,2450,2464,1.1501114336059917,0.8850778840058808,2.1232906597456407,-0.25561918876729917,2464
raw,BID,SVR,14,30,2450,2464,1.483934897304779,1.1266036633080696,2.69877206162706,-1.09029604352249,2464
raw,BID,LinearRegression,30,30,2434,2464,1.0665597071585187,0.7845059843670524,1.8853296502109997,-0.0798127415201424,2464
raw,BID,RandomForestRegressor,30,30,2434,2464,1.1313482329410924,0.863945435049028,2.075309200097867,-0.2149844173716784,2464
raw,BID,XGBRegressor,30,30,2434,2464,1.3400703299950134,0.9401959025065113,2.252307658559559,-0.7046423968040911,2464
raw,BID,CatBoostRegressor,30,30,2434,2464,2.116326183942508,1.871949990622985,4.609764271183264,-3.251511055066925,2464
raw,BID,SVR,30,30,2434,2464,1.2374240503344427,0.8676128271264955,2.0760758408663764,-0.45350057367222396,2464
raw,VCB,LinearRegression,14,30,2450,2464,2.1788034386037416,1.7448707262305259,2.680740076024786,-0.04993694225463963,2464
raw,VCB,RandomForestRegressor,14,30,2450,2464,2.825546356872795,2.068541013317459,3.1253718288671144,-0.7657612685495438,2464
raw,VCB,XGBRegressor,14,30,2450,2464,2.240290190992817,2.1032208099365226,3.272393019761225,-0.1100324309298839,2464
raw,VCB,CatBoostRegressor,14,30,2450,2464,2.8011427973707117,2.040361350941065,3.0818019317410386,-0.7353920782384176,2464
raw,VCB,SVR,14,30,2450,2464,2.9544528465668334,2.2379199258384515,3.3887199619686377,-0.9305508206771018,2464
raw,VCB,LinearRegression,30,30,2434,2464,2.180515799110045,1.7778490634443445,2.736347404513055,-0.05158791912702343,2464
raw,VCB,RandomForestRegressor,30,30,2434,2464,2.7914974030698514,2.0377139153431867,3.077020594275354,-0.7234614317088912,2464
raw,VCB,XGBRegressor,30,30,2434,2464,2.0734333694848934,1.5192823333740237,2.30222655434436,0.04916035734753088,2464
raw,VCB,CatBoostRegressor,30,30,2434,2464,2.1722882876627754,1.5752778634292002,2.3819587301085803,-0.04366719789643869,2464
raw,VCB,SVR,30,30,2434,2464,2.937754599445212,2.1825411357301787,3.299879758550127,-0.9087899621605229,2464
raw,MBB,LinearRegression,14,30,2450,2464,1.8882953800127156,1.6369118821868875,6.143311170494757,-6.852482116999869,2464
raw,MBB,RandomForestRegressor,14,30,2450,2464,0.9825169799792725,0.7466456738415855,2.7078788554031323,-1.1259215003525584,2464
raw,MBB,XGBRegressor,14,30,2450,2464,0.7787716323778644,0.6506577936808268,2.3965442356699613,-0.33563361825626914,2464
raw,MBB,CatBoostRegressor,14,30,2450,2464,0.7240398621943939,0.6427325879109882,2.3873420067662137,-0.15449498031266873,2464
raw,MBB,SVR,14,30,2450,2464,9.107689716949148,8.463884416065339,31.455108324411434,-181.6768641936982,2464
raw,MBB,LinearRegression,30,30,2434,2464,2.613319162839747,2.1954392390843385,8.245331304847324,-14.040144228395334,2464
raw,MBB,RandomForestRegressor,30,30,2434,2464,1.0660895834172626,0.8173528146113146,2.965461568563164,-1.5029633750343208,2464
raw,MBB,XGBRegressor,30,30,2434,2464,0.6739924844238457,0.5384608840942382,1.9724422125605174,-0.0004081071122845614,2464
raw,MBB,CatBoostRegressor,30,30,2434,2464,0.8234014644683391,0.7243778711601505,2.704631510350625,-0.4931050523823963,2464
raw,MBB,SVR,30,30,2434,2464,7.32648886494102,6.4067082696011495,23.91125720006542,-117.21126985371973,2464
raw,FPT,LinearRegression,14,30,2450,2464,3.3561918761623475,2.658853489599144,2.6772928399114546,-0.1307684134470679,2464
raw,FPT,RandomForestRegressor,14,30,2450,2464,3.372150332887306,2.5801421790405787,2.6049288029157807,-0.14154742821815058,2464
raw,FPT,XGBRegressor,14,30,2450,2464,3.34260899350285,2.799360809326172,2.797208389618522,-0.12163424278202228,2464
raw,FPT,CatBoostRegressor,14,30,2450,2464,3.1571971653839883,2.7126238639950646,2.6979411208646056,-0.0006530266303588217,2464
raw,FPT,SVR,14,30,2450,2464,4.7771907969897915,3.341192782385615,3.409388142421203,-1.2910010005030053,2464
raw,FPT,LinearRegression,30,30,2434,2464,3.293781930029695,2.6304376465564614,2.647639789024209,-0.08910509604652761,2464
raw,FPT,RandomForestRegressor,30,30,2434,2464,4.287024772290784,3.246783575648131,3.283983060585206,-0.8449818196270453,2464
raw,FPT,XGBRegressor,30,30,2434,2464,4.768432719197667,3.6164046223958333,3.654769580153568,-1.2826084646566884,2464
raw,FPT,CatBoostRegressor,30,30,2434,2464,3.852246415390405,3.103691908342356,3.112844330204613,-0.48973226629479427,2464
raw,FPT,SVR,30,30,2434,2464,5.682262070587838,3.8533989192755134,3.9406567622283983,-2.241325341173651,2464
