Dataset,Symbol,Model,Window_Size,N_Folds,Validation_Type,Avg_RMSE,Avg_MAE,Avg_MAPE,Avg_R2,Overall_RMSE,Overall_MAE,Overall_MAPE,Overall_R2
raw,ACB,LinearRegression,3,5,WalkForward,1.8518100971240483,1.5745418323886058,8.868429329603954,-1.3868875330563746,2.4233790653775538,1.9333344988991457,10.939254767006972,0.5175797049474745
raw,ACB,RandomForestRegressor,3,5,WalkForward,1.7478278672377532,1.4091192101651746,7.707244099702794,-0.9512418862744765,2.3786971293976604,1.7170535561670988,9.452743556149015,0.5352053043398193
raw,ACB,XGBRegressor,3,5,WalkForward,1.7841989871263784,1.4352566083067206,7.883553546946956,-1.103709792936282,2.4143558980050552,1.7564778568900412,9.699728787261787,0.5211654875122131
raw,ACB,CatBoostRegressor,3,5,WalkForward,1.6353404947714498,1.3179838183454473,7.22968605928366,-0.6461314065198396,2.203905343853758,1.6111111094011237,8.88726060000478,0.6010038160093072
raw,ACB,SVR,3,5,WalkForward,1.861622394918225,1.4920653844896923,8.166402384853114,-2.51443046417207,2.4567889936494396,1.7842873905837886,9.883855382427258,0.5041862325316744
raw,ACB,LinearRegression,5,5,WalkForward,1.809976910542505,1.5391778611829277,8.663290006112197,-1.2768131855154878,2.3535437412868476,1.8826278587404466,10.661377827237551,0.5451066496461858
raw,ACB,RandomForestRegressor,5,5,WalkForward,1.7596857456740984,1.4250669591352367,7.788673899681247,-0.905815995877712,2.387115880991048,1.734934064268863,9.549263205478791,0.5320364315089573
raw,ACB,XGBRegressor,5,5,WalkForward,1.7760847608353998,1.431955145682058,7.822336592356625,-1.0734908455519272,2.4110406976978744,1.7473576898402132,9.605407954545496,0.5226091152767232
raw,ACB,CatBoostRegressor,5,5,WalkForward,1.7362632804310594,1.400837642745286,7.652318270967731,-1.0887325960155176,2.3208215493943323,1.7005404455939608,9.36212785935559,0.5576678191331412
raw,ACB,SVR,5,5,WalkForward,1.9285052219062293,1.5512386920482217,8.501717202340409,-1.8455157384160692,2.571230399519453,1.8804852938930183,10.391907051561681,0.4570660138660505
raw,BID,LinearRegression,3,5,WalkForward,5.098340580267172,4.464850561642034,13.163686639790324,-2.793247689071997,6.588554455095157,5.511636248133728,16.276960283225932,-0.3234892597594221
raw,BID,RandomForestRegressor,3,5,WalkForward,4.733280998256868,4.106123102521581,12.094616194571653,-2.300800533376332,6.129260951443356,5.059433347890335,14.931249798806686,-0.14539785418641937
raw,BID,XGBRegressor,3,5,WalkForward,4.701653728200353,4.079993227365026,12.01433993999248,-2.223104910308209,6.1622887137270865,5.03124242547283,14.842211037719913,-0.15777515460552727
raw,BID,CatBoostRegressor,3,5,WalkForward,4.684962797951124,4.063283254194227,11.963780231113695,-2.2346084862137747,6.056407166467482,5.008164354336907,14.773491466534661,-0.11833076168665979
raw,BID,SVR,3,5,WalkForward,4.534278449110795,3.9203174080492387,11.317517022054835,-1.9642594939154243,6.066634807265657,4.846164902784067,14.008201094414918,-0.12211106996632304
raw,BID,LinearRegression,5,5,WalkForward,5.344659891334819,4.698195237147283,13.816961538474956,-6.2674774759607645,6.711019228997738,5.614069245930086,16.610243866642815,-0.37678704441302613
raw,BID,RandomForestRegressor,5,5,WalkForward,4.739227638511917,4.116027552633325,12.092770826711629,-4.794562627284598,6.01707589338218,4.91596233374978,14.530778289413934,-0.10677867517506567
raw,BID,XGBRegressor,5,5,WalkForward,4.732287972038844,4.10903947461036,12.030399280519598,-3.041918075586151,6.01191056418642,4.970548601112212,14.612628832181052,-0.10487927337483693
raw,BID,CatBoostRegressor,5,5,WalkForward,4.805991749279341,4.184949964843573,12.249377244950548,-4.785593499829675,5.98093800499363,5.006472920295764,14.737436217551053,-0.09352421827834267
raw,BID,SVR,5,5,WalkForward,4.790603258611909,4.132444133887707,11.796746258129726,-4.713217447399037,6.267921487691781,4.935229147685123,14.159452577233008,-0.20098311039899608
raw,VCB,LinearRegression,3,5,WalkForward,3.9934827145543146,3.272701427017526,6.03976086340842,-0.5605239616251825,6.1994401780936395,4.037916836338421,7.463263832692836,0.3491841110770423
raw,VCB,RandomForestRegressor,3,5,WalkForward,3.9878044056462967,3.352624456478722,6.122853534781726,-0.5366929881604934,5.9536890323148395,4.058013081369101,7.438361510652708,0.3997592246394279
raw,VCB,XGBRegressor,3,5,WalkForward,3.8796819768764883,3.240076928931546,5.943182574728346,-0.517253413418785,5.896895465383287,4.013770425197713,7.369447058985573,0.41115626580014497
raw,VCB,CatBoostRegressor,3,5,WalkForward,3.9685791726903537,3.2751365497428124,6.011548892361369,-0.5344593468841639,6.0927932272232805,4.010000604443486,7.378063162900693,0.37138306149316125
raw,VCB,SVR,3,5,WalkForward,3.8154246034517527,3.1550634322284266,5.804185096418186,-0.44213397916467495,5.893920326985041,3.902789570232855,7.188093091381492,0.4117502901225494
raw,VCB,LinearRegression,5,5,WalkForward,4.050942976708448,3.3134522313857944,6.104225371950583,-0.5608057547652348,6.091709894230344,4.034900112455074,7.453702941032859,0.3707902495657681
raw,VCB,RandomForestRegressor,5,5,WalkForward,4.010814422578777,3.3401115411685725,6.100770481050928,-0.7941989140200763,5.937342272650058,4.041154128565665,7.405685540895066,0.4022753178575802
raw,VCB,XGBRegressor,5,5,WalkForward,3.9814185091930767,3.3095144040507662,6.032370139917327,-0.736357388437477,5.847358943812027,4.02890456203476,7.362042841788967,0.42025564751652833
raw,VCB,CatBoostRegressor,5,5,WalkForward,3.99779958795357,3.334429416086185,6.098910640154898,-0.588027763854116,6.0182290569798,4.057828471181685,7.4418473137752645,0.3858782979593055
raw,VCB,SVR,5,5,WalkForward,3.943946074293469,3.2682006779678687,6.078861537460657,-0.41180075923309917,5.952381562960031,3.99997517179407,7.456809979233083,0.3992434090920919
raw,MBB,LinearRegression,3,5,WalkForward,2.0175672319174582,1.5127622733146202,10.208868872510816,-1.0310334332261217,2.6311983867494138,1.833476157359247,12.53775614581446,0.5183391404368918
raw,MBB,RandomForestRegressor,3,5,WalkForward,2.0135677119359423,1.5233621663088865,9.799942373766152,-0.6977214429448543,2.8299730942745565,1.8676728493785575,12.106505095534512,0.44281581497001077
raw,MBB,XGBRegressor,3,5,WalkForward,1.9128177573705887,1.4325882815625293,9.190369557109854,-0.5579708133273068,2.7263930400056804,1.7813593872667193,11.447727898051982,0.48285646855287756
raw,MBB,CatBoostRegressor,3,5,WalkForward,1.986459395712687,1.5019524713305408,9.633640714572433,-0.6236742018898952,2.727285858261837,1.8021813148691457,11.752032514908203,0.4825177127105431
raw,MBB,SVR,3,5,WalkForward,2.0676911286968633,1.5952241882955884,10.858479677771033,-1.045731976611607,2.8754521995209767,1.9873618999911684,13.541802682110681,0.42476345009447547
raw,MBB,LinearRegression,5,5,WalkForward,2.0682067755554607,1.5725195038044932,10.37902549483385,-10.04844379415113,2.5835592958892564,1.8012056083408485,12.325057525028802,0.5360147465293634
raw,MBB,RandomForestRegressor,5,5,WalkForward,2.1134722729427624,1.6410307075181123,10.323055429738512,-11.031463755518477,2.8252744702342403,1.8783572908300457,12.224399402246853,0.4451333775921975
raw,MBB,XGBRegressor,5,5,WalkForward,2.1284386941321767,1.6532492274007489,10.110128856641051,-18.36536005427252,2.818654751598612,1.8473628675315272,11.783117128327781,0.4477304759648071
raw,MBB,CatBoostRegressor,5,5,WalkForward,2.1083578242469527,1.6271214053282894,10.292959952069573,-19.497603596889427,2.7009386577663976,1.8115317051715316,11.997929835706628,0.4928963314495375
raw,MBB,SVR,5,5,WalkForward,2.2547739018681883,1.787528226457789,11.542234377738263,-28.33647130876961,2.825288515364798,1.9575830273152335,13.349366465257198,0.44512786082304345
raw,FPT,LinearRegression,3,5,WalkForward,15.657984025291052,12.26609002790208,14.935401202746746,-6.973483726048723,22.497487039107856,14.80356352924165,18.100557920556508,0.34184297679595843
raw,FPT,RandomForestRegressor,3,5,WalkForward,10.423413862730785,8.0292137477614,9.105200978320314,-0.5674804080895495,15.04385122737426,9.595269224087343,10.908435321030336,0.7057072526853738
raw,FPT,XGBRegressor,3,5,WalkForward,10.478331438810256,8.06581095782054,9.197956585674492,-0.6394530196175312,15.396517329250148,9.874348569542859,11.274133683564331,0.6917475836059241
raw,FPT,CatBoostRegressor,3,5,WalkForward,10.647778413305677,8.244423515520678,9.331274581190499,-0.5887619988899524,15.320326774052038,9.752455487841273,11.071304777073006,0.6947908448217798
raw,FPT,SVR,3,5,WalkForward,10.514769215299655,8.167042846512617,9.358640208641512,-0.5561635957808797,14.721651067502163,9.5949743259957,11.040325100488573,0.7181782293537351
raw,FPT,LinearRegression,5,5,WalkForward,16.307042733494917,12.872074760603066,15.556627277066019,-7.272469965404762,22.759340025403002,14.788634530528482,18.054466536129773,0.32639311328595055
raw,FPT,RandomForestRegressor,5,5,WalkForward,10.973451245233568,8.516503405481654,9.63895657946259,-2.5260008214078815,14.419111331697769,9.251677576555663,10.562231316916192,0.7296264643810919
raw,FPT,XGBRegressor,5,5,WalkForward,11.693021422366055,9.108848495360345,10.391361992251573,-3.1135730652104763,15.35364941820583,9.919289289267667,11.422086784729975,0.6934435701170859
raw,FPT,CatBoostRegressor,5,5,WalkForward,11.383871677452381,8.850439657897478,9.98619404358377,-2.9247734538668366,15.056628352347024,9.568585259368954,10.889474256310635,0.7051897008279113
raw,FPT,SVR,5,5,WalkForward,11.006190482982948,8.614448869433527,9.850529839304395,-2.0584189428290007,14.529124947886814,9.466778560459653,10.928130229376565,0.7254849827527208
