date,ticker,article_count,avg_score,pos_sum,neg_sum,excl_sum,words_sum,pos_ratio
2022-04-08,FPT,1,-0.25,9,15,0,554,0.374999999984375
2022-04-12,BID,1,-0.4838709677419355,8,23,0,514,0.2580645161207076
2022-04-12,FPT,1,-0.4838709677419355,8,23,0,514,0.2580645161207076
2022-04-13,FPT,1,0.4074074074074074,19,8,0,449,0.7037037036776406
2022-04-18,BID,1,-0.5333333333333333,7,23,0,498,0.23333333332555556
2022-04-18,FPT,1,-0.5333333333333333,7,23,0,498,0.23333333332555556
2022-04-19,FPT,1,-0.5625,7,25,0,554,0.21874999999316408
2022-04-21,BID,1,-0.058823529411764705,32,36,0,1174,0.47058823528719723
2022-04-22,FPT,1,0.0,13,13,0,571,0.4999999999807692
2022-04-25,BID,1,-0.36363636363636365,14,30,0,968,0.3181818181745868
2022-04-25,FPT,2,-0.3484848484848485,21,44,0,1369,0.3230769230719526
2022-04-26,BID,1,-0.1891891891891892,15,22,0,723,0.4054054053944485
2022-04-26,FPT,1,0.36363636363636365,15,7,0,549,0.6818181817871901
2022-05-04,FPT,1,0.16666666666666666,14,10,0,631,0.5833333333090278
2022-05-05,BID,1,-0.034482758620689655,14,15,0,517,0.48275862067300834
2022-05-06,BID,1,-0.4166666666666667,7,17,0,563,0.2916666666545139
2022-05-06,FPT,1,-0.4166666666666667,7,17,0,563,0.2916666666545139
2022-05-09,BID,2,0.375,12,15,0,1500,0.44444444442798353
2022-05-10,BID,1,0.1,11,9,0,520,0.5499999999725
2022-05-12,BID,1,-0.7142857142857143,4,24,0,501,0.14285714285204082
2022-05-16,BID,1,0.0,8,8,0,429,0.49999999996875
2022-05-17,BID,1,0.30434782608695654,15,8,0,540,0.6521739130151228
2022-05-17,FPT,1,1.0,9,0,0,1396,0.9999999998888889
2022-05-18,BID,1,-0.45454545454545453,3,8,0,391,0.2727272727024793
2022-05-18,FPT,2,-0.15584415584415584,15,17,0,891,0.4687499999853516
2022-05-20,BID,1,-0.058823529411764705,8,9,0,413,0.470588235266436
2022-05-23,BID,1,-0.7272727272727273,3,19,0,455,0.136363636357438
2022-05-25,BID,1,0.3333333333333333,14,7,0,510,0.6666666666349206
2022-05-25,FPT,1,0.3333333333333333,14,7,0,510,0.6666666666349206
2022-05-26,BID,2,0.6,4,2,0,1392,0.6666666665555555
2022-05-27,FPT,1,0.047619047619047616,11,10,0,485,0.5238095237845805
2022-05-30,BID,1,0.5294117647058824,13,4,0,413,0.7647058823079584
2022-05-30,FPT,1,0.5294117647058824,13,4,0,413,0.7647058823079584
2022-05-31,BID,1,-0.07692307692307693,6,7,0,376,0.4615384615029586
2022-06-03,BID,1,-0.17647058823529413,7,10,0,370,0.41176470585813146
2022-06-03,FPT,1,-0.17647058823529413,7,10,0,370,0.41176470585813146
2022-06-08,BID,1,0.42857142857142855,15,6,0,429,0.7142857142517007
2022-06-09,BID,1,0.3333333333333333,2,1,0,1028,0.6666666664444444
2022-06-09,FPT,1,0.16666666666666666,7,5,0,366,0.5833333332847223
2022-06-13,BID,1,-0.4883720930232558,11,32,0,788,0.255813953482423
2022-06-13,FPT,1,-0.4883720930232558,11,32,0,788,0.255813953482423
2022-06-14,BID,1,-0.25925925925925924,10,17,0,520,0.37037037035665293
2022-06-14,FPT,1,-0.25925925925925924,10,17,0,520,0.37037037035665293
2022-06-23,FPT,1,0.4,7,3,0,423,0.69999999993
2022-06-28,BID,1,0.7,17,3,0,431,0.8499999999575
2022-06-28,FPT,1,0.7,17,3,0,431,0.8499999999575
2022-06-30,BID,1,-0.2,4,6,0,379,0.39999999996
2022-07-01,BID,1,0.17647058823529413,10,7,0,363,0.588235294083045
2022-07-02,BID,1,1.0,4,0,0,822,0.99999999975
2022-07-06,FPT,1,-0.3684210526315789,6,13,0,349,0.31578947366759
2022-07-07,FPT,1,0.2,6,4,0,426,0.59999999994
2022-07-11,BID,1,-0.2727272727272727,4,7,0,406,0.36363636360330576
2022-07-11,FPT,1,-0.2727272727272727,4,7,0,406,0.36363636360330576
2022-07-12,BID,1,0.23076923076923078,8,5,0,389,0.6153846153372781
2022-07-14,FPT,1,0.07692307692307693,7,6,0,452,0.5384615384201183
2022-07-18,FPT,1,0.8571428571428571,13,1,0,1610,0.928571428505102
2022-07-19,BID,1,0.84,23,2,0,1272,0.9199999999632
2022-07-22,BID,1,-0.125,7,9,0,422,0.43749999997265626
2022-07-25,FPT,1,-0.5384615384615384,3,10,0,336,0.2307692307514793
2022-07-26,BID,1,0.3333333333333333,6,3,0,856,0.6666666665925925
2022-07-28,BID,1,0.6923076923076923,22,4,0,401,0.8461538461213017
2022-08-08,BID,1,1.0,2,0,0,574,0.9999999995
2022-08-11,BID,1,-0.16666666666666666,10,14,0,663,0.4166666666493056
2022-08-12,BID,1,0.4444444444444444,13,5,0,388,0.7222222221820987
2022-08-15,BID,1,0.6842105263157895,16,3,0,361,0.8421052631135734
2022-08-15,FPT,1,0.6842105263157895,16,3,0,361,0.8421052631135734
2022-08-16,BID,1,0.29411764705882354,11,6,0,462,0.6470588234913495
2022-08-22,BID,1,-0.2,10,15,0,460,0.399999999984
2022-08-24,BID,1,0.14285714285714285,4,3,0,550,0.5714285713469388
2022-08-30,BID,1,0.2,15,10,0,365,0.599999999976
2022-08-31,BID,1,0.3333333333333333,4,2,0,745,0.6666666665555555
2022-09-07,BID,1,-0.1,9,11,0,454,0.4499999999775
2022-09-19,BID,1,-0.2631578947368421,7,12,0,442,0.3684210526121884
2022-09-19,FPT,1,-0.2631578947368421,7,12,0,442,0.3684210526121884
2022-09-20,FPT,1,-0.14285714285714285,6,8,0,432,0.4285714285408163
2022-09-21,BID,1,-0.6666666666666666,2,10,0,1103,0.16666666665277777
2022-09-27,BID,1,0.5,6,2,0,493,0.74999999990625
2022-09-28,FPT,1,-0.2727272727272727,8,14,0,579,0.3636363636198347
2022-09-30,FPT,1,-0.1111111111111111,8,10,0,428,0.44444444441975306
2022-10-03,BID,1,-0.7142857142857143,3,18,0,502,0.14285714285034012
2022-10-03,FPT,1,-0.7142857142857143,3,18,0,502,0.14285714285034012
2022-10-06,BID,1,1.0,3,0,0,607,0.9999999996666666
2022-10-07,BID,1,-0.5454545454545454,5,17,0,576,0.2272727272623967
2022-10-13,BID,1,0.2857142857142857,9,5,0,373,0.6428571428112245
2022-10-17,BID,1,-0.125,7,9,0,373,0.43749999997265626
2022-10-20,BID,1,1.0,4,0,0,920,0.99999999975
2022-10-24,BID,1,-0.47368421052631576,5,14,0,501,0.26315789472299167
2022-10-24,FPT,1,-0.47368421052631576,5,14,0,501,0.26315789472299167
2022-10-25,BID,1,0.10344827586206896,16,13,0,526,0.5517241379120095
2022-10-27,BID,1,0.6190476190476191,17,4,0,377,0.8095238094852608
2022-10-31,BID,1,-0.5454545454545454,5,17,0,549,0.2272727272623967
2022-11-04,BID,1,-0.2903225806451613,11,20,0,581,0.3548387096659729
2022-11-08,BID,1,-0.16666666666666666,10,14,0,497,0.4166666666493056
2022-11-10,FPT,1,-0.4,9,21,0,538,0.29999999999
2022-11-11,BID,1,0.3333333333333333,8,4,0,1072,0.6666666666111111
2022-11-16,BID,1,0.0,11,11,0,791,0.49999999997727274
2022-11-21,FPT,1,-0.04,12,13,0,492,0.4799999999808
2022-11-24,BID,1,-0.16666666666666666,5,7,0,396,0.41666666663194446
2022-11-28,BID,1,0.47368421052631576,14,5,0,464,0.7368421052243768
2022-12-02,BID,1,0.4666666666666667,22,8,0,485,0.7333333333088888
2022-12-05,FPT,1,1.0,12,0,0,557,0.9999999999166667
2022-12-06,BID,1,-0.3548387096774194,10,21,0,679,0.32258064515088447
2022-12-18,FPT,1,1.0,9,0,0,935,0.9999999998888889
2022-12-22,BID,1,0.0,11,11,0,441,0.49999999997727274
2022-12-23,FPT,1,-0.5384615384615384,3,10,0,417,0.2307692307514793
2022-12-27,BID,1,0.2727272727272727,14,8,0,474,0.6363636363347107
2022-12-29,BID,1,0.8888888888888888,17,1,0,583,0.9444444443919753
2022-12-29,FPT,1,0.8888888888888888,17,1,0,583,0.9444444443919753
2022-12-30,BID,1,-0.2631578947368421,7,12,0,401,0.3684210526121884
2023-01-01,BID,1,0.07692307692307693,7,6,0,385,0.5384615384201183
2023-01-03,BID,1,0.6842105263157895,16,3,0,412,0.8421052631135734
2023-01-13,BID,2,-0.047619047619047616,8,8,0,1062,0.49999999996875
2023-01-16,BID,1,0.16666666666666666,7,5,0,498,0.5833333332847223
2023-01-16,FPT,1,0.47368421052631576,14,5,0,1511,0.7368421052243768
2023-01-19,BID,1,0.6,12,3,0,419,0.7999999999466667
2023-01-27,BID,1,0.5384615384615384,10,3,0,406,0.7692307691715976
2023-02-02,BID,1,0.06666666666666667,8,7,0,362,0.5333333332977778
2023-02-07,FPT,1,-0.3333333333333333,7,14,0,437,0.3333333333174603
2023-02-14,BID,1,-0.5714285714285714,6,22,0,444,0.21428571427806123
2023-02-21,BID,1,0.06666666666666667,8,7,0,421,0.5333333332977778
2023-03-01,BID,1,-0.07692307692307693,6,7,0,469,0.4615384615029586
2023-03-08,BID,1,0.3684210526315789,13,6,0,395,0.6842105262797784
2023-03-15,BID,1,0.3333333333333333,10,5,0,413,0.6666666666222222
2023-03-16,BID,1,-0.391304347826087,7,16,0,427,0.304347826073724
2023-03-22,BID,2,0.1680672268907563,17,7,0,983,0.7083333333038194
2023-04-10,BID,1,-0.42857142857142855,2,5,0,588,0.2857142856734694
2023-04-17,BID,1,0.14285714285714285,8,6,0,365,0.571428571387755
2023-04-26,BID,1,0.3684210526315789,13,6,0,431,0.6842105262797784
2023-04-28,BID,1,0.47368421052631576,14,5,0,423,0.7368421052243768
2023-05-08,BID,2,-0.10317460317460317,13,12,0,1064,0.5199999999792
2023-05-09,BID,1,0.44,18,7,0,425,0.7199999999712
2023-05-15,BID,1,0.6521739130434783,19,4,0,647,0.8260869564858223
2023-05-24,BID,1,-0.5294117647058824,4,13,0,367,0.235294117633218
2023-05-25,BID,1,-0.2857142857142857,10,18,0,445,0.357142857130102
2023-05-30,FPT,1,-0.1111111111111111,4,5,0,330,0.4444444443950617
2023-06-02,BID,1,0.1111111111111111,10,8,0,357,0.5555555555246914
2023-06-05,BID,1,0.5,18,6,0,823,0.74999999996875
2023-06-06,BID,1,0.68,21,4,0,531,0.8399999999664
2023-06-08,BID,1,-0.48148148148148145,7,20,0,587,0.25925925924965704
2023-06-08,FPT,1,0.7142857142857143,18,3,0,1167,0.8571428571020409
2023-07-05,BID,1,0.3333333333333333,10,5,0,321,0.6666666666222222
2023-07-17,BID,1,0.1,11,9,0,375,0.5499999999725
2023-07-19,BID,1,0.2222222222222222,11,7,0,377,0.6111111110771605
2023-07-27,BID,2,0.5128205128205128,26,6,0,2032,0.8124999999746094
2023-08-02,FPT,1,-0.3333333333333333,2,4,0,1081,0.33333333327777775
2023-08-10,BID,1,-0.12,11,14,0,407,0.4399999999824
2023-08-18,BID,1,-0.14285714285714285,9,12,0,618,0.42857142855102043
2023-08-19,BID,1,-0.20930232558139536,17,26,0,1115,0.3953488372001082
2023-08-21,BID,1,0.043478260869565216,12,11,0,423,0.5217391304120983
2023-08-28,FPT,1,0.5555555555555556,14,4,0,366,0.7777777777345679
2023-08-30,BID,1,0.7647058823529411,15,2,0,376,0.8823529411245675
2023-08-30,FPT,1,0.7647058823529411,15,2,0,376,0.8823529411245675
2023-09-07,FPT,1,0.0,7,7,0,361,0.49999999996428574
2023-09-18,BID,1,0.6190476190476191,17,4,0,652,0.8095238094852608
2023-09-18,FPT,1,0.6190476190476191,17,4,0,652,0.8095238094852608
2023-09-22,BID,1,0.037037037037037035,14,13,0,590,0.5185185184993141
2023-09-25,FPT,1,-0.7777777777777778,2,16,0,412,0.11111111110493826
2023-09-27,BID,1,0.5,18,6,0,434,0.74999999996875
2023-09-28,FPT,1,1.0,15,0,0,867,0.9999999999333333
2023-10-02,BID,1,-0.2,6,9,0,380,0.39999999997333335
2023-10-03,BID,1,-0.5151515151515151,8,25,0,814,0.24242424241689625
2023-10-04,BID,1,0.3333333333333333,14,7,0,421,0.6666666666349206
2023-10-05,BID,1,-0.42857142857142855,6,15,0,542,0.28571428570068025
2023-10-06,BID,1,0.375,11,5,0,448,0.6874999999570313
2023-10-09,FPT,1,0.47368421052631576,14,5,0,444,0.7368421052243768
2023-10-16,BID,1,-0.06666666666666667,7,8,0,419,0.46666666663555556
2023-10-16,FPT,1,-0.06666666666666667,7,8,0,419,0.46666666663555556
2023-10-17,BID,1,-0.05,19,21,0,826,0.47499999998812503
2023-10-17,FPT,1,-0.2727272727272727,8,14,0,439,0.3636363636198347
2023-10-18,BID,1,-0.5,6,18,0,526,0.24999999998958333
2023-10-19,FPT,1,-0.2222222222222222,7,11,0,500,0.38888888886728395
2023-10-24,BID,1,0.2,6,4,0,418,0.59999999994
2023-10-31,BID,1,-0.5555555555555556,6,21,0,532,0.22222222221399177
2023-11-01,BID,1,0.0,17,17,0,608,0.49999999998529415
2023-11-01,FPT,1,0.0,17,17,0,608,0.49999999998529415
2023-11-08,BID,1,0.9047619047619048,20,1,0,463,0.9523809523356009
2023-11-08,FPT,1,0.9047619047619048,20,1,0,463,0.9523809523356009
2023-11-10,BID,1,-0.17647058823529413,7,10,0,497,0.41176470585813146
2023-11-14,BID,1,0.2,9,6,0,371,0.59999999996
2023-11-15,BID,1,0.42857142857142855,15,6,0,404,0.7142857142517007
2023-11-16,FPT,1,0.38461538461538464,9,4,0,398,0.6923076922544379
2023-11-20,BID,1,-0.043478260869565216,11,12,0,576,0.47826086954442343
2023-11-22,BID,1,-0.1,9,11,0,421,0.4499999999775
2023-11-24,BID,1,0.07692307692307693,7,6,0,379,0.5384615384201183
2023-12-01,BID,1,0.625,13,3,0,672,0.8124999999492187
2023-12-18,BID,1,-0.6,3,12,0,351,0.19999999998666668
2023-12-21,BID,1,0.1,11,9,0,381,0.5499999999725
2023-12-26,FPT,1,0.06666666666666667,8,7,0,381,0.5333333332977778
2023-12-29,BID,1,0.2,15,10,0,473,0.599999999976
2024-01-03,BID,1,0.21739130434782608,14,9,0,436,0.608695652147448
2024-01-04,BID,1,0.5555555555555556,21,6,0,416,0.7777777777489712
2024-01-05,BID,1,0.4444444444444444,13,5,0,425,0.7222222221820987
2024-01-08,BID,1,0.6363636363636364,18,4,0,419,0.8181818181446281
2024-01-10,BID,1,0.2857142857142857,9,5,0,443,0.6428571428112245
2024-01-10,FPT,1,0.2857142857142857,9,5,0,443,0.6428571428112245
2024-01-11,BID,1,-0.058823529411764705,8,9,0,484,0.470588235266436
2024-01-16,BID,1,0.4782608695652174,17,6,0,433,0.7391304347504726
2024-01-19,BID,1,0.7647058823529411,15,2,0,465,0.8823529411245675
2024-01-25,BID,1,-0.4,6,14,0,470,0.299999999985
2024-01-26,BID,1,0.45454545454545453,8,3,0,379,0.7272727272066115
2024-02-01,FPT,1,0.44,18,7,0,431,0.7199999999712
2024-02-02,FPT,1,0.125,9,7,0,397,0.5624999999648438
2024-02-26,BID,1,0.7333333333333333,13,2,0,373,0.8666666666088889
2024-02-26,FPT,1,0.7333333333333333,13,2,0,373,0.8666666666088889
2024-02-29,BID,1,-0.07692307692307693,12,14,0,504,0.46153846152071004
2024-03-01,BID,1,0.6,8,2,0,285,0.79999999992
2024-03-01,FPT,1,0.6,8,2,0,285,0.79999999992
2024-03-06,FPT,2,-0.25,10,18,0,1096,0.357142857130102
2024-03-08,BID,2,0.1277777777777778,49,25,0,2082,0.662162162153214
2024-03-11,BID,1,-0.3684210526315789,6,13,0,381,0.31578947366759
2024-03-12,BID,1,0.6470588235294118,14,3,0,456,0.8235294117162629
2024-03-12,FPT,1,0.6470588235294118,14,3,0,456,0.8235294117162629
2024-03-13,FPT,1,0.4666666666666667,11,4,0,332,0.7333333332844444
2024-03-18,BID,1,0.3,13,7,0,359,0.6499999999675
2024-03-18,FPT,1,0.0,0,0,0,100,0.0
2024-03-19,BID,1,-0.17647058823529413,7,10,0,448,0.41176470585813146
2024-03-19,FPT,1,0.0,2,2,0,1181,0.499999999875
2024-03-20,BID,1,0.4166666666666667,17,7,0,382,0.7083333333038194
2024-03-21,BID,1,0.8461538461538461,12,1,0,802,0.9230769230059171
2024-03-22,BID,1,0.2222222222222222,11,7,0,395,0.6111111110771605
2024-03-22,FPT,1,0.2222222222222222,11,7,0,395,0.6111111110771605
2024-03-25,BID,1,-0.25,6,10,0,414,0.3749999999765625
2024-03-27,BID,1,-0.25,6,10,0,392,0.3749999999765625
2024-04-08,BID,1,-0.4117647058823529,5,12,0,398,0.2941176470415225
2024-04-08,FPT,1,-0.4117647058823529,5,12,0,398,0.2941176470415225
2024-04-09,BID,2,0.5238095238095238,18,7,0,1297,0.7199999999712
2024-04-11,BID,2,-0.0873015873015873,20,21,0,1279,0.4878048780368828
2024-04-11,FPT,1,-0.2857142857142857,5,9,0,411,0.35714285711734695
2024-04-12,BID,1,0.5,15,5,0,382,0.7499999999625
2024-04-15,BID,1,-0.1875,13,19,0,427,0.4062499999873047
2024-04-16,BID,1,-0.5,4,12,0,387,0.249999999984375
2024-04-17,BID,1,-0.36363636363636365,7,15,0,502,0.31818181816735536
2024-04-19,FPT,1,-0.2,10,15,0,718,0.399999999984
2024-04-22,BID,1,0.3333333333333333,14,7,0,396,0.6666666666349206
2024-04-23,BID,1,-0.6666666666666666,3,15,0,402,0.1666666666574074
2024-04-24,FPT,1,0.05263157894736842,10,9,0,424,0.5263157894459833
2024-04-25,BID,1,-0.16666666666666666,5,7,0,368,0.41666666663194446
2024-04-25,FPT,1,-0.16666666666666666,5,7,0,368,0.41666666663194446
2024-05-02,FPT,1,-0.2857142857142857,5,9,0,435,0.35714285711734695
2024-05-03,FPT,1,0.2,6,4,0,352,0.59999999994
2024-05-04,FPT,1,-0.29411764705882354,6,11,0,828,0.352941176449827
2024-05-06,BID,2,0.22588235294117645,25,17,0,1372,0.5952380952239229
2024-05-07,BID,1,0.5,9,3,0,436,0.7499999999375
2024-05-07,FPT,1,0.5,9,3,0,436,0.7499999999375
2024-05-08,BID,1,0.18181818181818182,13,9,0,469,0.5909090908822314
2024-05-10,BID,1,-0.45454545454545453,3,8,0,360,0.2727272727024793
2024-05-14,BID,1,0.2222222222222222,11,7,0,392,0.6111111110771605
2024-05-15,BID,1,0.42857142857142855,10,4,0,373,0.7142857142346939
2024-05-15,FPT,1,0.42857142857142855,10,4,0,373,0.7142857142346939
2024-05-16,BID,1,0.5,9,3,0,431,0.7499999999375
2024-05-20,FPT,1,0.5652173913043478,18,5,0,430,0.7826086956181475
2024-05-21,FPT,1,0.1,11,9,0,492,0.5499999999725
2024-05-22,FPT,1,0.0,9,9,0,374,0.4999999999722222
2024-05-23,FPT,1,0.23076923076923078,8,5,0,438,0.6153846153372781
2024-05-24,FPT,1,-0.3076923076923077,9,17,0,653,0.3461538461405325
2024-05-27,BID,1,0.17647058823529413,10,7,0,398,0.588235294083045
2024-05-27,FPT,1,0.17647058823529413,10,7,0,398,0.588235294083045
2024-05-28,FPT,1,0.125,9,7,0,434,0.5624999999648438
2024-05-29,BID,1,0.043478260869565216,12,11,0,469,0.5217391304120983
2024-05-30,BID,1,-0.15789473684210525,8,11,0,436,0.4210526315567867
2024-05-31,BID,1,-0.3333333333333333,5,10,0,462,0.3333333333111111
2024-06-04,FPT,1,0.29411764705882354,11,6,0,433,0.6470588234913495
2024-06-06,BID,1,-0.3333333333333333,6,12,0,456,0.3333333333148148
2024-06-06,FPT,1,-0.3333333333333333,6,12,0,456,0.3333333333148148
2024-06-07,FPT,1,-0.09090909090909091,5,6,0,358,0.45454545450413225
2024-06-10,FPT,1,0.07692307692307693,7,6,0,366,0.5384615384201183
2024-06-11,FPT,1,-0.375,5,11,0,432,0.31249999998046873
2024-06-12,FPT,1,0.125,9,7,0,372,0.5624999999648438
2024-06-14,FPT,1,-0.2222222222222222,7,11,0,365,0.38888888886728395
2024-06-17,BID,1,-0.5,2,6,0,317,0.24999999996875
2024-06-17,FPT,1,-0.5,2,6,0,317,0.24999999996875
2024-06-18,FPT,1,0.14285714285714285,8,6,0,400,0.571428571387755
2024-06-19,FPT,1,0.6216216216216216,30,7,0,2046,0.810810810788897
2024-06-20,BID,1,0.09090909090909091,12,10,0,475,0.545454545429752
2024-06-20,FPT,1,0.09090909090909091,12,10,0,475,0.545454545429752
2024-06-21,FPT,1,-0.14285714285714285,6,8,0,405,0.4285714285408163
2024-06-24,FPT,1,-0.44,7,18,0,434,0.2799999999888
2024-06-25,FPT,1,-0.058823529411764705,8,9,0,493,0.470588235266436
2024-06-27,BID,1,-0.4666666666666667,4,11,0,400,0.2666666666488889
2024-06-27,FPT,1,-0.4666666666666667,4,11,0,400,0.2666666666488889
2024-06-28,BID,1,-0.5384615384615384,3,10,0,472,0.2307692307514793
2024-06-28,FPT,1,-0.5384615384615384,3,10,0,472,0.2307692307514793
2024-07-01,FPT,1,-0.058823529411764705,8,9,0,435,0.470588235266436
2024-07-02,BID,1,0.5555555555555556,14,4,0,375,0.7777777777345679
2024-07-03,BID,1,0.5,12,4,0,357,0.749999999953125
2024-07-03,FPT,1,0.5,12,4,0,357,0.749999999953125
2024-07-04,FPT,1,-0.09090909090909091,5,6,0,329,0.45454545450413225
2024-07-05,BID,1,0.42857142857142855,5,2,0,453,0.7142857141836735
2024-07-05,FPT,1,0.42857142857142855,5,2,0,453,0.7142857141836735
2024-07-09,BID,1,0.2222222222222222,11,7,0,415,0.6111111110771605
2024-07-09,FPT,1,0.2222222222222222,11,7,0,415,0.6111111110771605
2024-07-10,FPT,1,-0.25,6,10,0,409,0.3749999999765625
2024-07-11,FPT,1,-0.2,6,9,0,466,0.39999999997333335
2024-07-12,FPT,1,-0.38461538461538464,4,9,0,399,0.30769230766863903
2024-07-15,FPT,1,-0.29411764705882354,6,11,0,423,0.352941176449827
2024-07-16,BID,1,0.2,9,6,0,391,0.59999999996
2024-07-16,FPT,1,0.2,9,6,0,391,0.59999999996
2024-07-17,BID,1,-0.23809523809523808,8,13,0,555,0.3809523809342404
2024-07-17,FPT,1,-0.23809523809523808,8,13,0,555,0.3809523809342404
2024-07-18,BID,1,0.2222222222222222,11,7,0,471,0.6111111110771605
2024-07-18,FPT,1,0.2222222222222222,11,7,0,471,0.6111111110771605
2024-07-19,FPT,1,-0.5294117647058824,4,13,0,430,0.235294117633218
2024-07-22,BID,2,0.12669683257918551,24,19,0,1718,0.558139534870741
2024-07-22,FPT,1,-0.2631578947368421,7,12,0,483,0.3684210526121884
2024-07-23,BID,2,-0.06666666666666665,12,20,0,1215,0.3749999999882813
2024-07-23,FPT,1,-0.3333333333333333,9,18,0,531,0.33333333332098763
2024-07-26,BID,1,0.2857142857142857,9,5,0,1691,0.6428571428112245
2024-07-26,FPT,1,0.2,6,4,0,379,0.59999999994
2024-07-29,BID,1,-0.09090909090909091,10,12,0,459,0.4545454545247934
2024-07-30,BID,1,-0.5,4,12,0,449,0.249999999984375
2024-07-30,FPT,1,-0.5,4,12,0,449,0.249999999984375
2024-08-01,BID,1,-0.125,7,9,0,476,0.43749999997265626
2024-08-01,FPT,1,-0.125,7,9,0,476,0.43749999997265626
2024-08-02,BID,1,0.4117647058823529,12,5,0,423,0.705882352899654
2024-08-06,BID,1,0.13043478260869565,13,10,0,604,0.5652173912797731
2024-08-06,FPT,1,0.13043478260869565,13,10,0,604,0.5652173912797731
2024-08-07,BID,1,0.0,11,11,0,425,0.49999999997727274
2024-08-09,BID,1,0.14285714285714285,8,6,0,406,0.571428571387755
2024-08-09,FPT,1,0.14285714285714285,8,6,0,406,0.571428571387755
2024-08-12,FPT,1,0.125,9,7,0,405,0.5624999999648438
2024-08-13,FPT,1,0.0,0,0,0,498,0.0
