Dataset,Symbol,Model,Window_Size,Forecast_Type,RMSE,MAE,MAPE,R2
Raw,ACB,LinearRegression,3,Recursive,1.9584436777929128,1.6005181218378857,6.9171099765229975,0.3737275496988961
With_Indicators,ACB,LinearRegression,3,Recursive,1.9584436777929128,1.6005181218378857,6.9171099765229975,0.3737275496988961
Raw,ACB,RandomForestRegressor,3,Recursive,1.9015427799702627,1.642477204734544,7.4063560791699246,0.40959050169732447
With_Indicators,ACB,RandomForestRegressor,3,Recursive,1.9015427799702627,1.642477204734544,7.4063560791699246,0.40959050169732447
Raw,ACB,XGBRegressor,3,Recursive,1.8775226874614743,1.6095153544614778,7.15745119999723,0.42441227703397666
With_Indicators,ACB,XGBRegressor,3,Recursive,1.8775226874614743,1.6095153544614778,7.15745119999723,0.42441227703397666
Raw,ACB,CatBoostRegressor,3,Recursive,1.9290716483186552,1.6224262194532963,7.094992350877104,0.3923718978650619
With_Indicators,ACB,CatBoostRegressor,3,Recursive,1.9290716483186552,1.6224262194532963,7.094992350877104,0.3923718978650619
Raw,ACB,SVR,3,Recursive,2.533087913720715,1.8632132330781954,7.693583652203667,-0.047711378036954244
With_Indicators,ACB,SVR,3,Recursive,2.533087913720715,1.8632132330781954,7.693583652203667,-0.047711378036954244
Raw,ACB,LinearRegression,5,Recursive,1.9890208978082013,1.6147448720701387,6.960779825420868,0.35401887712991886
With_Indicators,ACB,LinearRegression,5,Recursive,1.9890208978082013,1.6147448720701387,6.960779825420868,0.35401887712991886
Raw,ACB,RandomForestRegressor,5,Recursive,1.9575279622920165,1.7242559833478313,7.831186141044368,0.37431306903080197
With_Indicators,ACB,RandomForestRegressor,5,Recursive,1.9575279622920165,1.7242559833478313,7.831186141044368,0.37431306903080197
Raw,ACB,XGBRegressor,5,Recursive,1.9306828855478528,1.6945547974892767,7.684155304002946,0.3913564437380529
With_Indicators,ACB,XGBRegressor,5,Recursive,1.9306828855478528,1.6945547974892767,7.684155304002946,0.3913564437380529
Raw,ACB,CatBoostRegressor,5,Recursive,1.9598409191345343,1.7157648920579494,7.783036467046157,0.37283360935242993
With_Indicators,ACB,CatBoostRegressor,5,Recursive,1.9598409191345343,1.7157648920579494,7.783036467046157,0.37283360935242993
Raw,ACB,SVR,5,Recursive,2.0717264002863804,1.8359143315576194,8.37576433909508,0.29918089023807737
With_Indicators,ACB,SVR,5,Recursive,2.0717264002863804,1.8359143315576194,8.37576433909508,0.29918089023807737
Raw,BID,LinearRegression,3,Recursive,4.209258494362181,3.711942678311001,10.234006021033775,-1.9153667055939385
With_Indicators,BID,LinearRegression,3,Recursive,4.209258494362181,3.711942678311001,10.234006021033775,-1.9153667055939385
Raw,BID,RandomForestRegressor,3,Recursive,3.2857235435710055,2.8740289013193645,7.861441983563161,-0.7764133777210889
With_Indicators,BID,RandomForestRegressor,3,Recursive,3.2857235435710055,2.8740289013193645,7.861441983563161,-0.7764133777210889
Raw,BID,XGBRegressor,3,Recursive,6.988673299823868,5.55251749281656,14.301183490404961,-7.0365837264033235
With_Indicators,BID,XGBRegressor,3,Recursive,6.988673299823868,5.55251749281656,14.301183490404961,-7.0365837264033235
Raw,BID,CatBoostRegressor,3,Recursive,3.4750656599300345,3.050873722433448,8.351210920290155,-0.9870464769696632
With_Indicators,BID,CatBoostRegressor,3,Recursive,3.4750656599300345,3.050873722433448,8.351210920290155,-0.9870464769696632
Raw,BID,SVR,3,Recursive,3.630122770502952,3.179403446462621,8.44866381783865,-1.1683262223365474
With_Indicators,BID,SVR,3,Recursive,3.630122770502952,3.179403446462621,8.44866381783865,-1.1683262223365474
Raw,BID,LinearRegression,5,Recursive,4.293917802292473,3.794032413565292,10.459724469230261,-2.033817476903551
With_Indicators,BID,LinearRegression,5,Recursive,4.293917802292473,3.794032413565292,10.459724469230261,-2.033817476903551
Raw,BID,RandomForestRegressor,5,Recursive,3.313645603945526,2.922351787529106,7.943833438788202,-0.8067335650099958
With_Indicators,BID,RandomForestRegressor,5,Recursive,3.313645603945526,2.922351787529106,7.943833438788202,-0.8067335650099958
Raw,BID,XGBRegressor,5,Recursive,3.4097758853307876,3.0110344069683928,8.12643164846349,-0.9130823535805273
With_Indicators,BID,XGBRegressor,5,Recursive,3.4097758853307876,3.0110344069683928,8.12643164846349,-0.9130823535805273
Raw,BID,CatBoostRegressor,5,Recursive,3.5027853827490985,3.09454727419875,8.437853270879367,-1.0188732475264355
With_Indicators,BID,CatBoostRegressor,5,Recursive,3.5027853827490985,3.09454727419875,8.437853270879367,-1.0188732475264355
Raw,BID,SVR,5,Recursive,3.567465195310647,3.1667285864694152,8.611440804015027,-1.094119617638059
With_Indicators,BID,SVR,5,Recursive,3.567465195310647,3.1667285864694152,8.611440804015027,-1.094119617638059
Raw,VCB,LinearRegression,3,Recursive,8.531124342527946,7.845735425136767,13.373448505884749,-4.155495277064196
With_Indicators,VCB,LinearRegression,3,Recursive,8.531124342527946,7.845735425136767,13.373448505884749,-4.155495277064196
Raw,VCB,RandomForestRegressor,3,Recursive,9.856330862012065,9.237300333617112,15.65612563235942,-5.881583705095207
With_Indicators,VCB,RandomForestRegressor,3,Recursive,9.856330862012065,9.237300333617112,15.65612563235942,-5.881583705095207
Raw,VCB,XGBRegressor,3,Recursive,14.609395230436427,13.691940811939919,22.910829077123687,-14.118974204886086
With_Indicators,VCB,XGBRegressor,3,Recursive,14.609395230436427,13.691940811939919,22.910829077123687,-14.118974204886086
Raw,VCB,CatBoostRegressor,3,Recursive,11.62666992492735,10.9689983881267,18.473188563545616,-8.575656002336077
With_Indicators,VCB,CatBoostRegressor,3,Recursive,11.62666992492735,10.9689983881267,18.473188563545616,-8.575656002336077
Raw,VCB,SVR,3,Recursive,7.457219026861961,6.675129803602966,11.440856592770174,-2.9392328006804425
With_Indicators,VCB,SVR,3,Recursive,7.457219026861961,6.675129803602966,11.440856592770174,-2.9392328006804425
Raw,VCB,LinearRegression,5,Recursive,8.039184092907952,7.310214799739824,12.49109843483019,-3.578063341995983
With_Indicators,VCB,LinearRegression,5,Recursive,8.039184092907952,7.310214799739824,12.49109843483019,-3.578063341995983
Raw,VCB,RandomForestRegressor,5,Recursive,9.20155900354159,8.545280137156894,14.534547230357303,-4.997643947524486
With_Indicators,VCB,RandomForestRegressor,5,Recursive,9.20155900354159,8.545280137156894,14.534547230357303,-4.997643947524486
Raw,VCB,XGBRegressor,5,Recursive,13.205427545152611,12.578375655460484,21.141448309929757,-11.352725277556459
With_Indicators,VCB,XGBRegressor,5,Recursive,13.205427545152611,12.578375655460484,21.141448309929757,-11.352725277556459
Raw,VCB,CatBoostRegressor,5,Recursive,11.358219945017813,10.737207537256975,18.134112919313356,-8.138573266786619
With_Indicators,VCB,CatBoostRegressor,5,Recursive,11.358219945017813,10.737207537256975,18.134112919313356,-8.138573266786619
Raw,VCB,SVR,5,Recursive,7.289118090217965,6.431891037990608,11.051518379598116,-2.7636378024818335
With_Indicators,VCB,SVR,5,Recursive,7.289118090217965,6.431891037990608,11.051518379598116,-2.7636378024818335
Raw,MBB,LinearRegression,3,Recursive,3.6559258438317137,2.3796194237381245,9.75943379833108,0.0668915685994107
With_Indicators,MBB,LinearRegression,3,Recursive,3.6559258438317137,2.3796194237381245,9.75943379833108,0.0668915685994107
Raw,MBB,RandomForestRegressor,3,Recursive,3.7905511135211563,2.470845194079387,10.116616779023712,-0.0030950150011093136
With_Indicators,MBB,RandomForestRegressor,3,Recursive,3.7905511135211563,2.470845194079387,10.116616779023712,-0.0030950150011093136
Raw,MBB,XGBRegressor,3,Recursive,3.1231913643140334,2.1581572298225637,9.131051650452589,0.31901970073674246
With_Indicators,MBB,XGBRegressor,3,Recursive,3.1231913643140334,2.1581572298225637,9.131051650452589,0.31901970073674246
Raw,MBB,CatBoostRegressor,3,Recursive,3.9315566607302244,2.593540484456018,10.65762079719525,-0.07911178540976072
With_Indicators,MBB,CatBoostRegressor,3,Recursive,3.9315566607302244,2.593540484456018,10.65762079719525,-0.07911178540976072
Raw,MBB,SVR,3,Recursive,2.5733515384037555,2.1059585330324557,9.49593420712796,0.5376875450669707
With_Indicators,MBB,SVR,3,Recursive,2.5733515384037555,2.1059585330324557,9.49593420712796,0.5376875450669707
Raw,MBB,LinearRegression,5,Recursive,3.694335094496688,2.4065398133473517,9.867058590493384,0.04718205307043877
With_Indicators,MBB,LinearRegression,5,Recursive,3.694335094496688,2.4065398133473517,9.867058590493384,0.04718205307043877
Raw,MBB,RandomForestRegressor,5,Recursive,3.7133313473229377,2.4148609462860033,9.889498030644395,0.03735809009312585
With_Indicators,MBB,RandomForestRegressor,5,Recursive,3.7133313473229377,2.4148609462860033,9.889498030644395,0.03735809009312585
Raw,MBB,XGBRegressor,5,Recursive,3.8693949802185568,2.5188472994786766,10.293154698575682,-0.045257964670697204
With_Indicators,MBB,XGBRegressor,5,Recursive,3.8693949802185568,2.5188472994786766,10.293154698575682,-0.045257964670697204
Raw,MBB,CatBoostRegressor,5,Recursive,3.9714862746748345,2.593702981783033,10.599993997867054,-0.10114241001526825
With_Indicators,MBB,CatBoostRegressor,5,Recursive,3.9714862746748345,2.593702981783033,10.599993997867054,-0.10114241001526825
Raw,MBB,SVR,5,Recursive,2.490865500771089,2.0540153587539676,9.292098711758014,0.5668504048525818
With_Indicators,MBB,SVR,5,Recursive,2.490865500771089,2.0540153587539676,9.292098711758014,0.5668504048525818
Raw,FPT,LinearRegression,3,Recursive,19.79068807259935,18.694059576308348,18.472133455796822,-15.5290717566328
With_Indicators,FPT,LinearRegression,3,Recursive,19.79068807259935,18.694059576308348,18.472133455796822,-15.5290717566328
Raw,FPT,RandomForestRegressor,3,Recursive,17.5012014718467,16.574724326105084,16.407218637164053,-11.92594805222728
With_Indicators,FPT,RandomForestRegressor,3,Recursive,17.5012014718467,16.574724326105084,16.407218637164053,-11.92594805222728
Raw,FPT,XGBRegressor,3,Recursive,34.49510188096635,32.32647545443184,31.756489574820918,-49.215933600984734
With_Indicators,FPT,XGBRegressor,3,Recursive,34.49510188096635,32.32647545443184,31.756489574820918,-49.215933600984734
Raw,FPT,CatBoostRegressor,3,Recursive,18.69081916016624,17.783895327918017,17.58781155919037,-13.742914557114435
With_Indicators,FPT,CatBoostRegressor,3,Recursive,18.69081916016624,17.783895327918017,17.58781155919037,-13.742914557114435
Raw,FPT,SVR,3,Recursive,21.2333110658665,20.526201891201442,20.27268242349199,-18.026640908982976
With_Indicators,FPT,SVR,3,Recursive,21.2333110658665,20.526201891201442,20.27268242349199,-18.026640908982976
Raw,FPT,LinearRegression,5,Recursive,19.04492486096952,18.02407667108376,17.8199828975572,-14.306828085179786
With_Indicators,FPT,LinearRegression,5,Recursive,19.04492486096952,18.02407667108376,17.8199828975572,-14.306828085179786
Raw,FPT,RandomForestRegressor,5,Recursive,17.76116080561802,16.810193621704297,16.63662066067787,-12.312798849006828
With_Indicators,FPT,RandomForestRegressor,5,Recursive,17.76116080561802,16.810193621704297,16.63662066067787,-12.312798849006828
Raw,FPT,XGBRegressor,5,Recursive,22.32684091446929,21.090152292191505,20.791382348326024,-20.036875332647707
With_Indicators,FPT,XGBRegressor,5,Recursive,22.32684091446929,21.090152292191505,20.791382348326024,-20.036875332647707
Raw,FPT,CatBoostRegressor,5,Recursive,28.75783877186459,26.890339831648056,26.455307193574356,-33.901104134136396
With_Indicators,FPT,CatBoostRegressor,5,Recursive,28.75783877186459,26.890339831648056,26.455307193574356,-33.901104134136396
Raw,FPT,SVR,5,Recursive,17.09321895721236,16.30307093231789,16.146199929463926,-11.330321174616001
With_Indicators,FPT,SVR,5,Recursive,17.09321895721236,16.30307093231789,16.146199929463926,-11.330321174616001
