feature,catboost_importance,catboost_rank,lightgbm_importance,lightgbm_rank,avg_rank,catboost_norm,lightgbm_norm,combined_score
market_dispersion_5d_lag,11.091716004611984,2,594,1,1.5,0.951943755144434,1.0,0.975971877572217
market_dispersion_20d_lag,11.651650577747725,1,526,2,1.5,1.0,0.8855218855218855,0.9427609427609427
return_1d_lag,4.213014010575704,3,256,3,3.0,0.3615808749553219,0.43097643097643096,0.3962786529658764
volatility_5d,3.2122180802002105,7,245,5,6.0,0.27568781425138955,0.41245791245791247,0.34407286335465104
return_3d_lag,3.049444931235043,9,250,4,6.5,0.26171784940571946,0.4208754208754209,0.3412966351405702
high_low_range_lag,3.360851429013912,5,222,6,5.5,0.2884442342814891,0.37373737373737376,0.3310908040094314
volatility_10d,3.41472728789509,4,174,12,8.0,0.2930681164106073,0.29292929292929293,0.29299870466995015
OBV_change_lag,2.561416958214333,11,203,8,9.5,0.2198329705411967,0.34175084175084175,0.28079190614601923
trend_strength_regime_lag,2.277762089671039,13,207,7,10.0,0.195488362311611,0.3484848484848485,0.2719866053982298
ROC_12_lag,2.5968555437415937,10,180,10,10.0,0.22287447829074603,0.30303030303030304,0.26295239066052456
price_change_5d,2.4945540540947637,12,173,13,12.5,0.21409447849893928,0.29124579124579125,0.2526701348723653
price_to_EMA20,3.1772788371017855,8,123,27,17.5,0.27268916244104846,0.20707070707070707,0.23987993475587777
market_breadth_5d_lag,3.2125594783123628,6,121,29,17.5,0.27571711465907633,0.2037037037037037,0.23971040918139003
ROC_25_lag,2.1292006727534596,15,175,11,13.0,0.18273811581852603,0.2946127946127946,0.2386754552156603
price_to_SMA50,1.7532376765025226,19,180,9,14.0,0.15047118558900563,0.30303030303030304,0.22675074430965433
ADX_lag,1.8483942821861545,17,164,15,16.0,0.15863797749961797,0.2760942760942761,0.21736612679694706
price_change_10d,2.1693010947548594,14,145,21,17.5,0.18617972451884043,0.2441077441077441,0.21514373431329226
volume_lag_3,1.6315342744914205,20,167,14,17.0,0.14002602151555402,0.28114478114478114,0.21058540133016757
volume_ratio,1.8360888213140638,18,154,17,17.5,0.157581864394442,0.25925925925925924,0.20842056182685062
CMF_lag,1.2243979690159115,26,161,16,21.0,0.10508364980960394,0.27104377104377103,0.18806371042668749
keltner_width_lag,1.3266382172735323,24,152,18,21.0,0.11385839357448124,0.2558922558922559,0.18487532473336857
return_5d_lag,1.2663820789637539,25,150,19,22.0,0.10868692555733564,0.25252525252525254,0.1806060890412941
return_10d_lag,1.3704918458684912,22,130,25,23.5,0.11762212029305538,0.21885521885521886,0.16823866957413713
volatility_20d,1.1085719476433462,30,140,22,26.0,0.09514291046115753,0.2356902356902357,0.16541657307569663
plus_DI_lag,1.0404981153428146,31,138,23,27.0,0.08930049081028517,0.23232323232323232,0.16081186156675875
price_to_SMA20,2.0159461919573336,16,86,37,26.5,0.17301807829762586,0.1447811447811448,0.1588996115393853
volume_lag_2,1.1504803830908072,28,127,26,27.0,0.09873969146379913,0.2138047138047138,0.15627220263425645
MACD_histogram_lag,1.19784913794189,27,121,28,27.5,0.10280510301515026,0.2037037037037037,0.15325440335942697
MFI_lag,0.7204685529614108,40,145,20,30.0,0.0618340335692317,0.2441077441077441,0.15297088883848792
MACD_signal_lag,1.618939164242216,21,99,34,27.5,0.13894504932494794,0.16666666666666666,0.15280585799580731
stoch_d_lag,0.6145332870958042,43,132,24,33.5,0.05274216584124462,0.2222222222222222,0.13748219403173342
minus_DI_lag,0.9590595671337203,33,114,30,31.5,0.08231104775535651,0.1919191919191919,0.1371151198372742
volume_lag_1,1.0190474545801675,32,108,31,31.5,0.0874594932091716,0.18181818181818182,0.13463883751367672
BB_position,0.9245254870073057,34,100,33,33.5,0.07934716895586971,0.16835016835016836,0.12384866865301904
market_breadth_20d_lag,1.356615796857744,23,75,41,32.0,0.1164312118532462,0.12626262626262627,0.12134691905793624
stoch_k_lag,0.7525089751110029,38,102,32,35.0,0.0645838947958276,0.1717171717171717,0.11815053325649966
keltner_position_lag,0.7939673069662362,37,91,36,36.5,0.06814204577011189,0.1531986531986532,0.11067034948438254
OBV_lag,0.9130844444948824,35,79,40,37.5,0.07836524434046171,0.132996632996633,0.10568093866854736
volume_ma_5,0.7981340699715426,36,73,43,39.5,0.06849965716409448,0.12289562289562289,0.09569764002985869
volume_ma_10,0.623666094069774,42,80,39,40.5,0.05352598671821218,0.13468013468013468,0.09410306069917343
MACD_lag,0.738835187776451,39,73,42,40.5,0.06341034541384852,0.12289562289562289,0.0931529841547357
RSI_14_lag,0.5526265477671224,45,82,38,41.5,0.04742903540400759,0.13804713804713806,0.09273808672557282
sector_correlation_lag,0.190442776133276,61,91,35,48.0,0.01634470368489962,0.1531986531986532,0.08477167844177641
volume_regime_lag,1.1474417346857864,29,36,45,37.0,0.09847890022355853,0.06060606060606061,0.07954248041480957
SMA_50_lag,0.31789811892933423,51,43,44,47.5,0.027283526639260428,0.0723905723905724,0.04983704951491641
stoch_cross_lag,0.6557639646734941,41,24,47,44.0,0.05628077844403173,0.04040404040404041,0.04834240942403607
low_5d,0.47815405065939787,46,19,50,48.0,0.04103745194458324,0.03198653198653199,0.036511991965557614
close_lag_10,0.3540235415997605,48,22,48,48.0,0.030383982015035126,0.037037037037037035,0.03371050952603608
BB_lower_lag,0.3307941840092558,50,19,49,49.5,0.02839032820302775,0.03198653198653199,0.030188430094779867
price_regime_lag,0.5567200443065894,44,5,64,54.0,0.04778035872186307,0.008417508417508417,0.028098933569685743
BB_upper_lag,0.11476886077179291,65,27,46,55.5,0.009850008803986794,0.045454545454545456,0.027652277129266125
williams_r_lag,0.45460512077662585,47,8,60,53.5,0.03901637092042812,0.013468013468013467,0.026242192194220793
close_lag_3,0.2864890836632645,53,16,54,53.5,0.024587854034208694,0.026936026936026935,0.025761940485117815
close_lag_1,0.2381849329905592,57,18,51,54.0,0.020442162370148984,0.030303030303030304,0.025372596336589642
close_lag_5,0.23297090847177027,58,16,55,56.5,0.019994670018400412,0.026936026936026935,0.023465348477213675
keltner_upper_lag,0.35126277123234084,49,8,58,53.5,0.030147039587951688,0.013468013468013467,0.02180752652798258
open_lag_1,0.1592941183840376,63,16,53,58.0,0.013671377915181979,0.026936026936026935,0.020303702425604458
low_lag_1,0.13470634625861938,64,17,52,58.0,0.011561138515077084,0.02861952861952862,0.020090333567302852
keltner_lower_lag,0.2623121424720837,55,8,59,57.0,0.02251287409640024,0.013468013468013467,0.017990443782206853
EMA_10_lag,0.264458069029094,54,4,67,60.5,0.022697047707056626,0.006734006734006734,0.01471552722053168
EMA_20_lag,0.08677885413927508,68,13,56,62.0,0.007447773477262096,0.021885521885521887,0.014666647681391991
high_5d,0.2405943249189757,56,4,65,60.5,0.020648947830486934,0.006734006734006734,0.013691477282246834
uptrend_5d,0.3034825568011251,52,0,96,74.0,0.026046314620927172,0.0,0.013023157310463586
EMA_5_lag,0.20264935573937234,59,5,63,61.0,0.01739233033012432,0.008417508417508417,0.01290491937381637
close_lag_2,0.17148797511846942,62,6,62,62.0,0.014717912623124526,0.010101010101010102,0.012409461362067314
SMA_10_lag,0.04996687487416691,72,12,57,64.5,0.004288394553265564,0.020202020202020204,0.012245207377642883
high_lag_1,0.19429891325775922,60,3,68,64.0,0.016675655690261644,0.005050505050505051,0.010863080370383348
SMA_20_lag,0.1131214288816784,66,6,61,63.5,0.00970861837358196,0.010101010101010102,0.009904814237296031
keltner_middle_lag,0.1055690046871609,67,2,70,68.5,0.009060433453846974,0.003367003367003367,0.00621371841042517
SMA_5_lag,0.01053877369934944,74,4,66,70.0,0.0009044876199322651,0.006734006734006734,0.0038192471769694994
uptrend_10d,0.07699570414715678,69,0,75,72.0,0.006608137073231742,0.0,0.003304068536615871
above_SMA50,0.012435069822433573,73,3,69,71.0,0.0010672367609600325,0.005050505050505051,0.003058870905732542
MACD_cross_lag,0.06818890391438383,70,0,97,83.5,0.005852295643383841,0.0,0.0029261478216919207
above_SMA20,0.06452756340033262,71,0,81,76.0,0.0055380620084477215,0.0,0.0027690310042238608
banking_strength_20d,0.0,94,0,87,90.5,0.0,0.0,0.0
RS_10d_lag,0.0,82,0,77,79.5,0.0,0.0,0.0
banking_strength_10d,0.0,97,0,90,93.5,0.0,0.0,0.0
banking_momentum_5d,0.0,78,0,94,86.0,0.0,0.0,0.0
banking_momentum_20d,0.0,96,0,89,92.5,0.0,0.0,0.0
banking_momentum_10d,0.0,75,0,91,83.0,0.0,0.0,0.0
technology_volatility_20d,0.0,76,0,73,74.5,0.0,0.0,0.0
technology_volatility_5d,0.0,92,0,86,89.0,0.0,0.0,0.0
technology_momentum_5d,0.0,93,0,83,88.0,0.0,0.0,0.0
technology_volatility_10d,0.0,89,0,79,84.0,0.0,0.0,0.0
technology_strength_5d,0.0,91,0,85,88.0,0.0,0.0,0.0
technology_strength_20d,0.0,85,0,74,79.5,0.0,0.0,0.0
technology_strength_10d,0.0,88,0,82,85.0,0.0,0.0,0.0
technology_momentum_20d,0.0,86,0,72,79.0,0.0,0.0,0.0
technology_momentum_10d,0.0,90,0,84,87.0,0.0,0.0,0.0
banking_strength_5d,0.0,98,0,92,95.0,0.0,0.0,0.0
banking_volatility_10d,0.0,87,0,98,92.5,0.0,0.0,0.0
banking_volatility_20d,0.0,95,0,88,91.5,0.0,0.0,0.0
banking_volatility_5d,0.0,84,0,93,88.5,0.0,0.0,0.0
RS_20d_lag,0.0,81,0,78,79.5,0.0,0.0,0.0
ADX_strong_trend_lag,0.0,77,0,95,86.0,0.0,0.0,0.0
leader_beta_lag,0.0,79,0,80,79.5,0.0,0.0,0.0
leader_correlation_lag,0.0,80,0,76,78.0,0.0,0.0,0.0
RS_5d_lag,0.0,83,0,71,77.0,0.0,0.0,0.0
